"Id","MSZoning","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","SalePrice"
15,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Fa","Attchd","RFn","TA","TA","Y","WD","Normal",-0.836549037145871,1.2589508687152,-1.39704371018591,-0.459209163748162,-0.0965966922330149,0.894629369616214,-0.423329078008106,-2.26702259725982,-1.27939716415331,0.211496629680814,-1.31658719743893,0.400102968418859,0.2049304714002,-0.629959300330502,-1.44601033563686,-0.605501180378075,1.6564719959873,-0.787843752707567,0.114278174769753,-0.5288395958174,0.56481266341155,0.185144207014563,1.05812064844799,-1.24823109316172,0.562922974759234,0.232458099000762,-0.0343568634970457,0.858843476693795,-0.159803801780869,0.184593826712106,157000
16,"RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","FuseA","TA","Typ","Fa","Detchd","Unf","TA","TA","Y","WD","Normal",-1.8088995403038,0.664328115028128,1.33228831813398,1.30101907418395,-1.6379214469578,-0.293862047417603,1.22424315823036,-0.495235222203169,0.00739782176334799,0.991241873050889,0.289713411546439,-0.777814888244432,0.554073718436251,-1.29456250666614,0.374257070124309,0.779976233750302,-0.247089496977286,0.826756483824558,0.336248431367537,-1.51829450702391,-0.00896223940673209,-0.135594389878547,0.249051506197414,0.106442727798072,0.316245413081473,0.0613771756358555,-0.127444687391979,-0.065529395214901,0.758102020353709,-0.128242362109473,132000
17,"RL","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD","Normal",-1.24753467314751,2.20590456816162,-0.498169652060261,-0.294532322010487,-0.301907276145177,2.00227366385314,0.614144199573235,-0.412935267090178,0.709122891309402,-0.533034272176314,-0.301157561715719,0.291127625220012,0.455707023209434,0.240787937631055,0.0141207617472238,0.81033101383108,-0.538797024620454,0.163362727417234,-0.153835948340417,-0.545075537134757,-0.800590927311478,-0.952217979375171,-0.363007633263167,0.119109301670728,0.0460656923204534,0.763358573234214,-0.633683142436169,0.748918666890559,0.162320588654891,-0.321432944140124,149000
18,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","Slab","Fa","Gd","Gd","BLQ","BLQ","GasA","TA","Y","SBrkr","TA","Typ","Gd","CarPort","Unf","TA","TA","Y","WD","Normal",-2.14068457430904,-1.00245712913282,0.197958802371186,0.548309275448229,3.25920053421679,-1.93161330767194,-1.11478850442513,1.29805346442731,1.04410878360343,0.798244107132339,-0.231925519702259,0.158291948273485,0.0633097829952774,-0.69465510924398,-0.269064207871822,1.78544298508051,-1.55171997633241,0.679566239722023,1.16121269542568,-1.14306344970818,-0.514059794697517,-0.745867341690592,-0.741345251208039,-2.11077680730003,0.658770001398052,-1.06948585003938,-0.0467548187303901,0.0827435714177697,0.0211556571290809,0.506636100786647,90000
19,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Ex","Detchd","Unf","TA","TA","Y","WD","Normal",0.244537416817588,1.34009410830592,1.13113212882021,-0.0374835704313717,-0.0249600808531868,0.789250589225399,-1.21530589751841,-0.0432401269391291,0.35396220040642,0.733186472647007,-0.938906931966191,-0.44594682359552,-0.89262407174194,-0.189668614912032,0.00395690007533078,0.672363389945717,0.785204887176335,0.0741857593008121,-0.172254440279048,0.0381323794856636,-0.0641722123035585,-0.0205325538301695,1.68096656724789,0.219556728853288,0.994309488655098,0.556429203033131,0.0535716788189691,-0.529031778285858,-0.319616431491269,0.0721596383332961,159000
20,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","BrkFace","Plywood","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","TA","Y","SBrkr","TA","Min1","Po","Attchd","Unf","TA","TA","Y","COD","Abnorml",-2.32263208603283,0.523232446077265,-0.89577623372694,1.01258343777055,0.182077226172251,0.92650302190585,0.141539171768302,0.0313583277629527,0.658402960186796,-0.355575777791707,-0.181239013774929,0.05519286943545,-0.244945573226087,0.176421272103733,0.625084991366896,-0.0918807918390321,0.360490977208348,-0.138258842950975,-0.762437997988524,0.0609906731519385,-0.117786932378436,-0.265127967954581,0.0206051095623268,0.555003116396436,0.029368102479053,-0.636385940459732,0.718875758482315,-0.239703456408113,0.350367133816181,-0.196137871100648,139000
21,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","New","Partial",5.37885404984822,-3.0871411396106,0.764885260453039,0.764127102279668,-1.21963573715764,-1.40374347952207,-0.933880171756934,0.283714392366642,0.212292724413583,1.21223090795673,-0.22616979980307,-0.240713711047194,0.395332100842226,0.0532239525542571,-0.186174443668444,-0.0624877828478333,0.0777095582810616,-0.203520032155171,-0.00446480001689006,-0.756402855868216,0.167803723047345,0.704970528214417,-0.97719035036214,-0.436722384413419,-0.336017180306373,0.32591976678445,-0.228524628438562,0.509063105595191,-0.536603898879683,0.11097549173039,325300
22,"RM","Pave","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Ex","Y","FuseF","Gd","Typ","Gd","Attchd","Unf","TA","TA","N","WD","Normal",-3.34319790826003,-0.733002545975631,-1.85926665458563,0.741480314894159,-0.705788151142322,-0.021652074448667,0.752815407711952,-1.09527169886014,-1.09283556205248,0.421211484520014,0.617157218895123,0.713795762726841,1.82536602275847,-0.543732670250723,-0.514654710216659,-0.186090004570483,0.0455026075716786,-0.0177799080075111,0.0622083012313955,0.7695623689355,-0.0151682646354625,-0.453307595873488,-0.143651132075915,-0.256949465279546,0.216676867752436,0.373584894129635,0.425871568027033,0.664173098016993,1.19819502690233,0.737981446019828,139400
23,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",3.18168577628932,0.332825554196302,0.225757372343106,3.49686703355461,-0.4405566283709,-0.595503516182954,0.772827901168877,-0.457252059579077,-0.191337124716758,-0.161931926725501,-0.25293386423672,-0.811103605668692,0.0918370615202359,-0.206977016691345,-0.126680289973743,-1.14699734753582,0.242196101817754,-1.23859914151847,-0.246659306246955,-0.646621900912093,0.200526503927209,0.201591056133187,-0.180474772762486,-0.281395206183968,0.234659717511161,0.460785822938707,-0.0598899003561338,0.0592515145779928,0.225423125624733,-0.0530260434213953,230000
24,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story","Gable","CompShg","CemntBd","CmentBd","None","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","Unf","TA","TA","Y","WD","Normal",-0.99210360218707,1.24075159941541,0.589544965280602,-1.36720323782826,0.688690934097917,-0.565672868576166,0.78993100712294,-0.656036409516117,-0.220238111647631,0.58372238718762,0.194929831942792,-0.277241523417852,0.333624180467514,-0.65792747892981,0.497041877452698,0.167225720411797,0.184280450059806,0.587260482587298,0.422808694465397,-0.84636084748688,0.882400664583417,-0.901758288524689,0.0308617929967407,0.863155910319269,0.304081397081615,1.50338636566829,0.87931061262668,-0.321150426915796,-0.08482204403977,-0.224941273746699,129900
25,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","Plywood","Plywood","None","TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","WD","Normal",-1.41160037242,1.72735829780303,-0.978552823480618,-1.51478191710726,-1.29051201848714,1.34538868540543,1.32051389055128,2.44949933227932,0.112721184730189,-0.290387759782506,0.993459028678982,-3.31253470599008,0.0190034165252143,-0.729173153160654,-0.661969271446758,-1.47840034290295,-0.320824837172416,-0.480872586553411,-0.72497040418004,-0.58042921367504,0.542007512631294,-0.0332701263022175,-0.148053068588014,-0.618810734185186,0.443823247716951,1.03761036272584,0.101102299470281,-0.260662148862557,0.0331096817823642,-0.188778219046542,154000
26,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",4.04113791209379,0.728466726215427,0.114914424117768,3.42623752250356,-0.648863781826607,0.624973392581085,-0.450607398458474,-0.243951478243643,0.379759953878784,-0.729999313353716,0.478713109103857,0.658152579954589,0.606358883437223,0.281729945019202,-0.40142289807168,0.504857719720226,0.0205749365108163,-0.159174176018608,-0.69224473428308,-1.26285840424317,-1.68377106363457,0.370817062407529,-0.918149660524671,-0.594874516752333,-0.173746707899227,1.11633075498866,-0.189014897222997,-0.109888127921199,-0.0263839146085022,0.0757952428694901,256300
27,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","Mn","BLQ","Rec","GasA","TA","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","WD","Normal",-1.70751333330423,1.52898054234177,0.336428155931356,-0.349604930299522,-2.02273670947744,-0.282850689487053,1.32841284503055,3.77596791729623,0.487028498846029,-2.00040318911342,0.966484473369817,-0.631298739071632,-0.262386190547176,-0.244054499657154,-0.722110112725155,1.64056821741229,1.26769341183377,0.0380654121346452,-0.332087907550627,-0.608157734105394,0.502076831359935,0.283883423299564,0.495908840747632,-0.024494984558878,0.631037751419169,0.387279713388023,-0.0895913386833539,-0.519654177873791,0.184435206771349,-0.554029315506505,134800
28,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",3.80282685422838,2.35992710964344,-0.147485415488013,0.570658280575032,0.774943632049846,1.65995868684685,-0.00770287588476087,-0.113050244364226,0.392984906865974,-0.169749732672806,0.492940867325767,0.240581384292462,-0.244521550220262,-0.148489081953271,0.268481501670773,1.23633011342371,0.803716528881935,-0.345766205226573,-0.39866144368999,0.412257955799519,-0.487504214666531,-0.662293936033449,-0.473620307383201,0.273319406066276,-0.191760171621325,0.141093486255403,0.0923460859899468,-0.119130824898899,0.247593573985455,0.1550929929229,306000
29,"RL","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Gd","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",0.314152753970678,2.37912503557712,-1.63336799587083,-1.23814709913712,-0.121677095251538,-2.03086129289539,0.939879565562094,-1.39996180340521,-0.100199687871839,1.95366543658136,-1.01852560486265,-1.5015213781606,-0.104876916152345,-0.500777419045169,0.524455048542786,-1.74740338849187,0.870410664253017,-1.74219366748445,1.35933978156249,-0.97402260269722,1.43170238633011,-0.791412728982942,0.0124142938186803,-0.45130230461889,1.42769052763005,-0.195973756266995,-0.0864198504688799,-0.997179273502801,-0.147367290143259,-0.253162228249458,207500
30,"RM","Pave","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Fa","N","SBrkr","Fa","Typ","Fa","Detchd","Unf","Fa","TA","Y","WD","Normal",-5.52960463964226,0.735074427845834,-0.328678846369889,0.673761774062624,-0.617711943750252,0.585937095813382,-0.233176504131579,-0.447614982073645,-0.526250658873577,0.0507578647462014,-0.163850345301018,0.686556483808041,0.758355363231631,0.0471763140714641,-0.327028569933467,0.0873721668579751,-0.4895817837901,-0.106920065378615,0.258415295286022,-0.716100659239511,0.288331566878064,0.22308814235681,-0.428724669476334,-0.531594906100989,-0.188163441983116,-0.834561216643055,-0.60606339213544,0.607542760315452,-0.334081192417191,0.228472798658401,68500
31,"C (all)","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story","Gambrel","CompShg","BrkFace","BrkFace","None","TA","Fa","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","N","SBrkr","TA","Typ","Fa","Detchd","Unf","TA","Fa","N","WD","Normal",-4.11314179417016,-1.94226161566743,-1.14268634704162,0.421432520668832,0.48201990387058,0.0963329466161081,-0.683521517914188,-0.860003587140552,-1.08216899317682,0.151591097115912,-0.431834087060716,0.832725174266653,0.62416381468721,-0.0265137807531639,-1.22543623097585,0.0262910862664333,0.511128540881398,-0.902876855715911,0.0992189247633092,0.202850580323966,0.799498957112114,1.00785980146881,-0.382441325848371,0.618676730838109,-0.117974701861881,-0.114440586763634,-0.46147408246641,-0.512628250132379,0.0243489957549232,0.164822566253091,40000
